Date,Action,Symbol,Quantity,Price
03/31/2015,Sell,TRIP,28.58425236559408,67.81615448
3/31/2015,Buy,MANH,54.716806708882125,54.84999847
3/31/2015,Buy,MNST,70.73892504005264,42.42666626
3/31/2015,Buy,IT,34.30746055089624,87.48000336
3/31/2015,Buy,AXON,95.0353632637207,31.57999992
1/31/2015,Buy,FIVE,73.50518319252964,40.83000183
3/31/2015,Buy,IDXX,44.26573199491133,67.80000305
1/31/2015,Buy,AMBA,59.17225339265223,50.72000122
3/31/2015,Buy,GPRO,54.114980419243636,55.45999908
3/31/2015,Buy,TYL,24.70543859291224,121.4800034
3/31/2015,Buy,DPZ,29.53882129434361,101.6024551
03/31/2016,Sell,MANH,54.716806708882125,65.93000031
03/31/2016,Sell,MNST,70.73892504005264,50.0
03/31/2016,Sell,IT,34.30746055089624,101.6200027
03/31/2016,Sell,AXON,95.0353632637207,22.37000084
01/31/2016,Sell,FIVE,73.50518319252964,32.09999847
03/31/2016,Sell,IDXX,44.26573199491133,87.56999969
01/31/2016,Sell,AMBA,59.17225339265223,55.74000168
03/31/2016,Sell,GPRO,54.114980419243636,10.27000046
03/31/2016,Sell,TYL,24.70543859291224,153.2899933
03/31/2016,Sell,DPZ,29.53882129434361,114.3489838
1/31/2016,Buy,INTU,28.28563514203713,106.1012421
3/31/2016,Buy,PAYC,84.30171772862857,35.59999847
3/31/2016,Buy,MANH,45.520112362298114,65.93000031
3/31/2016,Buy,IDXX,34.27133759028964,87.56999969
3/31/2016,Buy,MKTX,22.333088754149873,134.3809204
3/31/2016,Buy,IT,29.53297522553155,101.6200027
3/31/2016,Buy,MELI,22.13108465234962,135.6074982
3/31/2016,Buy,VRSN,35.117494201563815,85.45999908
3/31/2016,Buy,ROL,256.37976465340586,11.70584202
3/31/2016,Buy,WING,143.30044316578528,20.94299889
01/31/2017,Sell,INTU,28.28563514203713,127.7207794
03/31/2017,Sell,PAYC,84.30171772862857,57.50999832
03/31/2017,Sell,MANH,45.520112362298114,46.84000015
03/31/2017,Sell,IDXX,34.27133759028964,168.3899994
03/31/2017,Sell,MKTX,22.333088754149873,184.3166656
03/31/2017,Sell,IT,29.53297522553155,119.5999985
03/31/2017,Sell,MELI,22.13108465234962,274.47052
03/31/2017,Sell,VRSN,35.117494201563815,90.16000366
03/31/2017,Sell,ROL,256.37976465340586,18.04530144
03/31/2017,Sell,WING,143.30044316578528,23.86663437
3/31/2017,Buy,CORT,365.1595353209079,11.31000042
3/31/2017,Buy,IDXX,24.526126922989185,168.3899994
1/31/2017,Buy,FIZZ,77.73648515463205,53.1276207
3/31/2017,Buy,MKTX,22.406842508800644,184.3166656
3/31/2017,Buy,MELI,15.046987552056493,274.47052
3/31/2017,Buy,ROL,228.86591900824865,18.04530144
3/31/2017,Buy,ALGN,28.44321340234459,145.1999969
3/31/2017,Buy,DPZ,20.40013111731782,202.4474487
1/31/2017,Buy,INTU,32.335807197920005,127.7207794
3/31/2017,Buy,PAYC,71.81280852881223,57.50999832
03/31/2018,Sell,CORT,365.1595353209079,18.5
03/31/2018,Sell,IDXX,24.526126922989185,208.2100067
01/31/2018,Sell,FIZZ,77.73648515463205,49.94552994
03/31/2018,Sell,MKTX,22.406842508800644,208.1721039
03/31/2018,Sell,MELI,15.046987552056493,290.8299866
03/31/2018,Sell,ROL,228.86591900824865,21.1294117
03/31/2018,Sell,ALGN,28.44321340234459,331.9500122
03/31/2018,Sell,DPZ,20.40013111731782,242.814209
01/31/2018,Sell,INTU,32.335807197920005,198.5771942
03/31/2018,Sell,PAYC,71.81280852881223,107.3899994
3/31/2018,Buy,IDXX,27.928206886672378,208.2100067
3/31/2018,Buy,ALGN,17.51749338538823,331.9500122
3/31/2018,Buy,PAYS,2769.015431452147,2.099999905
3/31/2018,Buy,WING,127.70377941116827,45.53453445
3/31/2018,Buy,PAYC,54.14779938059151,107.3899994
3/31/2018,Buy,TTD,679.87043575954,8.55300045
3/31/2018,Buy,MKTX,27.93329189672009,208.1721039
3/31/2018,Buy,FTNT,95.04629149278674,61.18000031
1/31/2018,Buy,INTU,29.282980688791714,198.5771942
3/31/2018,Buy,ROL,275.2055866748549,21.1294117
03/31/2019,Sell,IDXX,27.928206886672378,249.7700043
03/31/2019,Sell,ALGN,17.51749338538823,284.3500061
03/31/2019,Sell,PAYS,2769.015431452147,9.760000229
03/31/2019,Sell,WING,127.70377941116827,75.67345428
03/31/2019,Sell,PAYC,54.14779938059151,189.1300049
03/31/2019,Sell,TTD,679.87043575954,19.88100052
03/31/2019,Sell,MKTX,27.93329189672009,292.6886597
03/31/2019,Sell,FTNT,95.04629149278674,72.48000336
01/31/2019,Sell,INTU,29.282980688791714,256.2110596
03/31/2019,Sell,ROL,275.2055866748549,24.19304085
3/31/2019,Buy,JYNT,575.4755423514333,17.65999985
3/31/2019,Buy,PAYS,1041.2805074950556,9.760000229
3/31/2019,Buy,PAYC,53.73498508065116,189.1300049
3/31/2019,Buy,IDXX,40.68902516972483,249.7700043
2/28/2019,Buy,SLP,265.63757540162464,38.25851059
3/31/2019,Buy,WING,134.29937999131312,75.67345428
3/31/2019,Buy,ALGN,35.74080454927404,284.3500061
3/31/2019,Buy,TTD,511.18644564096513,19.88100052
3/31/2019,Buy,MKTX,34.72255468326564,292.6886597
3/31/2019,Buy,ROL,420.07526274254934,24.19304085
03/31/2020,Sell,JYNT,575.4755423514333,12.10000038
03/31/2020,Sell,PAYS,1041.2805074950556,7.21999979
03/31/2020,Sell,PAYC,53.73498508065116,202.0099945
03/31/2020,Sell,IDXX,40.68902516972483,308.8800049
02/28/2020,Sell,SLP,265.63757540162464,69.84835815
03/31/2020,Sell,WING,134.29937999131312,116.3790665
03/31/2020,Sell,ALGN,35.74080454927404,245.6199951
03/31/2020,Sell,TTD,511.18644564096513,31.15600014
03/31/2020,Sell,MKTX,34.72255468326564,503.0543518
03/31/2020,Sell,ROL,420.07526274254934,27.27391243
3/31/2020,Buy,PCTY,63.94604278699757,196.6000061
3/31/2020,Buy,ZYXI,720.737929061886,17.44294548
3/31/2020,Buy,MKTX,24.99092266473975,503.0543518
3/31/2020,Buy,MANH,142.21484371499858,88.40000153
2/29/2020,Buy,SLP,179.9869422126794,69.84835815
3/31/2020,Buy,IDXX,40.701217957001475,308.8800049
3/31/2020,Buy,PAYC,62.233516876782964,202.0099945
3/31/2020,Buy,CMG,12.522828480751215,1003.909973
